Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
BOG,MCO,1/1/2018,NONSTOP,POINTS,684.36,193.36,46800,76.56,0,0
PDX,LGB,1/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
PDX,LGB,1/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
JFK,FLL,1/1/2018,NONSTOP,LOWEST,111.2,20.97,0,0,1,0
JFK,FLL,1/1/2018,NONSTOP,POINTS,111.2,20.97,7200,5.6,1,0
BOS,BNA,1/1/2018,NONSTOP,LOWEST,117.2,21.39,0,0,1,0
BOS,BNA,1/1/2018,NONSTOP,POINTS,117.2,21.39,7700,5.6,1,0
HPN,PBI,1/1/2018,NONSTOP,LOWEST,266.94,31.83,0,0,1,0
HPN,PBI,1/1/2018,NONSTOP,POINTS,266.94,31.83,18800,5.6,1,0
LGA,PBI,1/1/2018,NONSTOP,LOWEST,112.2,21.04,0,0,1,0
LGA,PBI,1/1/2018,NONSTOP,POINTS,112.2,21.04,7300,5.6,1,0
SYR,MCO,1/1/2018,NONSTOP,LOWEST,306.3,34.58,0,0,1,0
SYR,MCO,1/1/2018,NONSTOP,POINTS,306.3,34.58,23400,5.6,1,0
RSW,DCA,1/1/2018,NONSTOP,LOWEST,271.2,32.13,0,0,1,0
RSW,DCA,1/1/2018,NONSTOP,POINTS,271.2,32.13,24500,5.6,1,0
BGI,FLL,1/1/2018,NONSTOP,LOWEST,485.86,127.86,0,0,0,0
BGI,FLL,1/1/2018,NONSTOP,POINTS,485.86,127.86,34100,41.66,0,0
BOS,CLE,1/1/2018,NONSTOP,LOWEST,110.8,20.94,0,0,1,0
BOS,CLE,1/1/2018,NONSTOP,POINTS,110.8,20.94,7200,5.6,1,0
JFK,LGB,1/1/2018,NONSTOP,LOWEST,286.2,33.18,0,0,1,0
JFK,LGB,1/1/2018,NONSTOP,POINTS,286.2,33.18,20200,5.6,1,0
JFK,BGI,1/1/2018,NONSTOP,LOWEST,199.6,29.6,0,0,0,0
JFK,BGI,1/1/2018,NONSTOP,POINTS,199.6,29.6,12600,7.1,0,0
JFK,CHS,1/1/2018,NONSTOP,LOWEST,89.2,19.43,0,0,1,0
JFK,CHS,1/1/2018,NONSTOP,POINTS,89.2,19.43,5600,5.6,1,0
JFK,GCM,1/1/2018,NONSTOP,LOWEST,187.1,28.1,0,0,0,0
JFK,GCM,1/1/2018,NONSTOP,POINTS,187.1,28.1,11800,5.6,0,0
JFK,PUJ,1/1/2018,NONSTOP,LOWEST,167.4,59.4,0,0,0,0
JFK,PUJ,1/1/2018,NONSTOP,POINTS,167.4,59.4,8000,36.9,0,0
JFK,POP,1/1/2018,NONSTOP,LOWEST,169.4,59.4,0,0,0,0
JFK,POP,1/1/2018,NONSTOP,POINTS,169.4,59.4,8200,36.9,0,0
BOS,IAD,1/1/2018,NONSTOP,LOWEST,133.2,22.5,0,0,1,0
BOS,IAD,1/1/2018,NONSTOP,POINTS,133.2,22.5,8900,5.6,1,0
BOS,MCO,1/1/2018,NONSTOP,LOWEST,110.2,20.9,0,0,1,0
BOS,MCO,1/1/2018,NONSTOP,POINTS,110.2,20.9,7200,5.6,1,0
PVD,MCO,1/1/2018,NONSTOP,LOWEST,104.2,20.48,0,0,1,0
PVD,MCO,1/1/2018,NONSTOP,POINTS,104.2,20.48,6700,5.6,1,0
BOS,RSW,1/1/2018,NONSTOP,LOWEST,264.89,31.69,0,0,1,0
BOS,RSW,1/1/2018,NONSTOP,POINTS,264.89,31.69,18600,5.6,1,0
DCA,BOS,1/1/2018,NONSTOP,LOWEST,153.2,23.9,0,0,1,0
DCA,BOS,1/1/2018,NONSTOP,POINTS,153.2,23.9,10300,5.6,1,0
JFK,RDU,1/1/2018,NONSTOP,LOWEST,254.55,30.97,0,0,1,0
JFK,RDU,1/1/2018,NONSTOP,POINTS,254.55,30.97,19300,5.6,1,0
BOS,DEN,1/1/2018,NONSTOP,LOWEST,271.2,32.13,0,0,1,0
BOS,DEN,1/1/2018,NONSTOP,POINTS,271.2,32.13,19100,5.6,1,0
JFK,CTG,1/1/2018,NONSTOP,LOWEST,325.1,43.1,0,0,0,0
JFK,CTG,1/1/2018,NONSTOP,POINTS,325.1,43.1,20900,20.6,0,0
JFK,CLT,1/1/2018,NONSTOP,LOWEST,118.2,21.46,0,0,1,0
JFK,CLT,1/1/2018,NONSTOP,POINTS,118.2,21.46,7800,5.6,1,0
MCO,SJO,1/1/2018,NONSTOP,LOWEST,436.58,44.58,0,0,0,0
MCO,SJO,1/1/2018,NONSTOP,POINTS,436.58,44.58,34100,22.08,0,0
BOS,JFK,1/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
BOS,JFK,1/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
BDL,SJU,1/1/2018,NONSTOP,LOWEST,261.1,28.1,0,0,1,0
BDL,SJU,1/1/2018,NONSTOP,POINTS,261.1,28.1,17300,5.6,1,0
JFK,UVF,1/1/2018,NONSTOP,LOWEST,173.5,33.5,0,0,0,0
JFK,UVF,1/1/2018,NONSTOP,POINTS,173.5,33.5,10400,11,0,0
HPN,RSW,1/1/2018,NONSTOP,LOWEST,333.65,36.49,0,0,1,0
HPN,RSW,1/1/2018,NONSTOP,POINTS,333.65,36.49,25600,5.6,1,0
LAX,FLL,1/1/2018,NONSTOP,LOWEST,209.21,27.81,0,0,1,0
LAX,FLL,1/1/2018,NONSTOP,POINTS,209.21,27.81,14500,5.6,1,0
LGB,SMF,1/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
LGB,SMF,1/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
LGB,SLC,1/1/2018,NONSTOP,LOWEST,168.2,24.94,0,0,1,0
LGB,SLC,1/1/2018,NONSTOP,POINTS,168.2,24.94,13400,5.6,1,0
