Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
JFK,CLT,2/1/2018,NONSTOP,POINTS,85.2,19.15,5300,5.6,1,0
DCA,MCO,2/1/2018,NONSTOP,LOWEST,82.2,18.94,0,0,1,0
DCA,MCO,2/1/2018,NONSTOP,POINTS,82.2,18.94,5100,5.6,1,0
JFK,BOS,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
JFK,BOS,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
JFK,JAX,2/1/2018,NONSTOP,LOWEST,101.2,20.27,0,0,1,0
JFK,JAX,2/1/2018,NONSTOP,POINTS,101.2,20.27,6500,5.6,1,0
LGB,SMF,2/1/2018,NONSTOP,LOWEST,63.2,17.62,0,0,1,0
LGB,SMF,2/1/2018,NONSTOP,POINTS,63.2,17.62,3700,5.6,1,0
JFK,POP,2/1/2018,NONSTOP,LOWEST,334.4,59.4,0,0,0,0
JFK,POP,2/1/2018,NONSTOP,POINTS,334.4,59.4,20400,36.9,0,0
STT,SJU,2/1/2018,NONSTOP,LOWEST,92.1,10.1,0,0,1,0
STT,SJU,2/1/2018,NONSTOP,POINTS,92.1,10.1,6100,5.6,1,0
SDQ,MCO,2/1/2018,NONSTOP,LOWEST,302.86,118.86,0,0,0,0
SDQ,MCO,2/1/2018,NONSTOP,POINTS,302.86,118.86,13700,62.26,0,0
BOS,CUN,2/1/2018,NONSTOP,LOWEST,354.82,54.82,0,0,0,0
BOS,CUN,2/1/2018,NONSTOP,POINTS,354.82,54.82,22300,32.32,0,0
HPN,RSW,2/1/2018,NONSTOP,LOWEST,336.98,36.72,0,0,1,0
HPN,RSW,2/1/2018,NONSTOP,POINTS,336.98,36.72,28100,5.6,1,0
MCO,MEX,2/1/2018,NONSTOP,LOWEST,84.82,54.82,0,0,0,0
MCO,MEX,2/1/2018,NONSTOP,POINTS,84.82,54.82,2300,32.32,0,0
MCO,BWI,2/1/2018,NONSTOP,LOWEST,63.2,17.62,0,0,1,0
MCO,BWI,2/1/2018,NONSTOP,POINTS,63.2,17.62,3700,5.6,1,0
SYR,FLL,2/1/2018,NONSTOP,LOWEST,142.99,23.19,0,0,1,0
SYR,FLL,2/1/2018,NONSTOP,POINTS,142.99,23.19,9600,5.6,1,0
FLL,BOG,2/1/2018,NONSTOP,LOWEST,205.1,43.1,0,0,0,0
FLL,BOG,2/1/2018,NONSTOP,POINTS,205.1,43.1,12000,20.6,0,0
BOS,CLT,2/1/2018,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
BOS,CLT,2/1/2018,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
BDA,JFK,2/1/2018,NONSTOP,LOWEST,184.96,134.96,0,0,0,0
BDA,JFK,2/1/2018,NONSTOP,POINTS,184.96,134.96,3800,111.46,0,0
MCO,HAV,2/1/2018,NONSTOP,LOWEST,93.1,53.1,0,0,0,0
MCO,HAV,2/1/2018,NONSTOP,POINTS,93.1,53.1,3000,30.6,0,0
BOS,PHL,2/1/2018,NONSTOP,LOWEST,63.2,17.62,0,0,1,0
BOS,PHL,2/1/2018,NONSTOP,POINTS,63.2,17.62,3700,5.6,1,0
JFK,SAN,2/1/2018,NONSTOP,LOWEST,140.2,22.99,0,0,1,0
JFK,SAN,2/1/2018,NONSTOP,POINTS,140.2,22.99,9400,5.6,1,0
LGB,RNO,2/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
LGB,RNO,2/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
SJC,LGB,2/1/2018,NONSTOP,LOWEST,48.98,16.63,0,0,1,0
SJC,LGB,2/1/2018,NONSTOP,POINTS,48.98,16.63,2600,5.6,1,0
JFK,MSY,2/1/2018,NONSTOP,LOWEST,225.2,28.92,0,0,1,0
JFK,MSY,2/1/2018,NONSTOP,POINTS,225.2,28.92,15700,5.6,1,0
JFK,SXM,2/1/2018,NONSTOP,LOWEST,163.1,28.1,0,0,0,0
JFK,SXM,2/1/2018,NONSTOP,POINTS,163.1,28.1,10000,5.6,0,0
JFK,GND,2/1/2018,NONSTOP,LOWEST,174,43,0,0,0,0
JFK,GND,2/1/2018,NONSTOP,POINTS,174,43,9800,20.5,0,0
DCA,JAX,2/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
DCA,JAX,2/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
JFK,BTV,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
JFK,BTV,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
BOS,SEA,2/1/2018,NONSTOP,LOWEST,118.2,21.46,0,0,1,0
BOS,SEA,2/1/2018,NONSTOP,POINTS,118.2,21.46,7800,5.6,1,0
SFO,LGB,2/1/2018,NONSTOP,LOWEST,39.2,15.94,0,0,1,0
SFO,LGB,2/1/2018,NONSTOP,POINTS,39.2,15.94,1900,5.6,1,0
JFK,HAV,2/1/2018,NONSTOP,LOWEST,143.1,53.1,0,0,0,0
JFK,HAV,2/1/2018,NONSTOP,POINTS,143.1,53.1,6700,30.6,0,0
MCO,RIC,2/1/2018,NONSTOP,LOWEST,98.2,20.06,0,0,1,0
MCO,RIC,2/1/2018,NONSTOP,POINTS,98.2,20.06,6300,5.6,1,0
JFK,PUJ,2/1/2018,NONSTOP,LOWEST,284.4,59.4,0,0,0,0
JFK,PUJ,2/1/2018,NONSTOP,POINTS,284.4,59.4,16700,36.9,0,0
MSY,FLL,2/1/2018,NONSTOP,LOWEST,33.2,15.53,0,0,1,0
MSY,FLL,2/1/2018,NONSTOP,POINTS,33.2,15.53,1500,5.6,1,0
SYR,JFK,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
SYR,JFK,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
KIN,FLL,2/1/2018,NONSTOP,LOWEST,147.68,114.68,0,0,0,0
KIN,FLL,2/1/2018,NONSTOP,POINTS,147.68,114.68,2500,87.98,0,0
BDL,DCA,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
BDL,DCA,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
JFK,ANU,2/1/2018,NONSTOP,LOWEST,145.6,65.6,0,0,0,0
JFK,ANU,2/1/2018,NONSTOP,POINTS,145.6,65.6,6000,43.1,0,0
JFK,LIR,2/1/2018,NONSTOP,LOWEST,338.79,45.79,0,0,0,0
JFK,LIR,2/1/2018,NONSTOP,POINTS,338.79,45.79,21800,23.29,0,0
PAP,FLL,2/1/2018,NONSTOP,LOWEST,186.06,111.06,0,0,0,0
PAP,FLL,2/1/2018,NONSTOP,POINTS,186.06,111.06,5600,87.56,0,0
ORD,BOS,2/1/2018,NONSTOP,LOWEST,59.2,17.34,0,0,1,0
ORD,BOS,2/1/2018,NONSTOP,POINTS,59.2,17.34,3400,5.6,1,0
NAS,MCO,2/1/2018,NONSTOP,LOWEST,162.59,122.59,0,0,0,0
NAS,MCO,2/1/2018,NONSTOP,POINTS,162.59,122.59,3000,99.09,0,0
BOS,CHS,2/1/2018,NONSTOP,LOWEST,137.2,22.78,0,0,1,0
BOS,CHS,2/1/2018,NONSTOP,POINTS,137.2,22.78,9200,5.6,1,0
JFK,NAS,2/1/2018,NONSTOP,LOWEST,278.1,28.1,0,0,0,0
JFK,NAS,2/1/2018,NONSTOP,POINTS,278.1,28.1,18600,5.6,0,0
DCA,PBI,2/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
