Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
SYR,MCO,12/1/2017,NONSTOP,POINTS,548.2,51.46,56300,5.6,1,0
BOS,BNA,12/1/2017,NONSTOP,LOWEST,267.2,31.85,0,0,1,0
BOS,BNA,12/1/2017,NONSTOP,POINTS,267.2,31.85,22000,5.6,1,0
JFK,CHS,12/1/2017,NONSTOP,LOWEST,231.2,29.34,0,0,1,0
JFK,CHS,12/1/2017,NONSTOP,POINTS,231.2,29.34,18900,5.6,1,0
BOS,IAD,12/1/2017,NONSTOP,LOWEST,268.2,31.92,0,0,1,0
BOS,IAD,12/1/2017,NONSTOP,POINTS,218.2,28.43,15200,5.6,1,1
JFK,RDU,12/1/2017,NONSTOP,LOWEST,254.2,30.94,0,0,1,0
JFK,RDU,12/1/2017,NONSTOP,POINTS,254.2,30.94,20900,5.6,1,0
BOS,CLE,12/1/2017,NONSTOP,LOWEST,183.2,25.99,0,0,1,0
BOS,CLE,12/1/2017,NONSTOP,POINTS,183.2,25.99,14700,5.6,1,0
BOS,DEN,12/1/2017,NONSTOP,LOWEST,301.2,34.22,0,0,1,0
BOS,DEN,12/1/2017,NONSTOP,POINTS,301.2,34.22,21300,5.6,1,0
JFK,ROC,12/1/2017,NONSTOP,LOWEST,203.2,27.39,0,0,1,0
JFK,ROC,12/1/2017,NONSTOP,POINTS,203.2,27.39,16500,5.6,1,0
JFK,POP,12/1/2017,NONSTOP,LOWEST,513.4,59.4,0,0,0,0
JFK,POP,12/1/2017,NONSTOP,POINTS,513.4,59.4,43300,36.9,0,0
SFO,BOS,12/1/2017,NONSTOP,LOWEST,483.2,46.92,0,0,1,0
SFO,BOS,12/1/2017,NONSTOP,POINTS,483.2,46.92,49400,5.6,1,0
JFK,CTG,12/1/2017,NONSTOP,LOWEST,493.1,43.1,0,0,0,0
JFK,CTG,12/1/2017,NONSTOP,POINTS,493.1,43.1,42900,20.6,0,0
BOS,TPA,12/1/2017,NONSTOP,LOWEST,268.2,31.92,0,0,1,0
BOS,TPA,12/1/2017,NONSTOP,POINTS,268.2,31.92,20400,5.6,1,0
JFK,AUA,12/1/2017,NONSTOP,LOWEST,412.1,38.1,0,0,0,0
JFK,AUA,12/1/2017,NONSTOP,POINTS,412.1,38.1,27800,15.6,0,0
DCA,SJU,12/1/2017,NONSTOP,LOWEST,512.1,28.1,0,0,1,0
DCA,SJU,12/1/2017,NONSTOP,POINTS,512.1,28.1,53800,5.6,1,0
BDL,SJU,12/1/2017,NONSTOP,LOWEST,512.1,28.1,0,0,1,0
BDL,SJU,12/1/2017,NONSTOP,POINTS,512.1,28.1,53800,5.6,1,0
HPN,RSW,12/1/2017,NONSTOP,LOWEST,386.98,40.21,0,0,1,0
HPN,RSW,12/1/2017,NONSTOP,POINTS,369.2,38.97,30900,5.6,1,1
JFK,CLT,12/1/2017,NONSTOP,LOWEST,155.2,24.04,0,0,1,0
JFK,CLT,12/1/2017,NONSTOP,POINTS,155.2,24.04,10500,5.6,1,0
JFK,UVF,12/1/2017,NONSTOP,LOWEST,417.5,33.5,0,0,0,0
JFK,UVF,12/1/2017,NONSTOP,POINTS,417.5,33.5,30800,11,0,0
TPA,BOS,12/1/2017,NONSTOP,LOWEST,268.2,31.92,0,0,1,0
TPA,BOS,12/1/2017,NONSTOP,POINTS,268.2,31.92,20400,5.6,1,0
SJU,STT,12/1/2017,NONSTOP,LOWEST,98.1,10.1,0,0,1,0
SJU,STT,12/1/2017,NONSTOP,POINTS,98.1,10.1,6600,5.6,1,0
JFK,JAX,12/1/2017,NONSTOP,LOWEST,291.2,33.53,0,0,1,0
JFK,JAX,12/1/2017,NONSTOP,POINTS,268.2,31.92,20400,5.6,1,1
EWR,BOS,12/1/2017,NONSTOP,LOWEST,213.2,28.08,0,0,1,0
EWR,BOS,12/1/2017,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,1
SFO,FLL,12/1/2017,NONSTOP,LOWEST,334.2,36.53,0,0,1,0
SFO,FLL,12/1/2017,NONSTOP,POINTS,334.2,36.53,25600,5.6,1,0
LGB,SMF,12/1/2017,NONSTOP,LOWEST,133.2,22.5,0,0,1,0
LGB,SMF,12/1/2017,NONSTOP,POINTS,133.2,22.5,8900,5.6,1,0
LGB,SLC,12/1/2017,NONSTOP,LOWEST,140.2,22.99,0,0,1,0
LGB,SLC,12/1/2017,NONSTOP,POINTS,140.2,22.99,9400,5.6,1,0
LAX,FLL,12/1/2017,NONSTOP,LOWEST,195.2,26.83,0,0,1,0
LAX,FLL,12/1/2017,NONSTOP,POINTS,195.2,26.83,13500,5.6,1,0
JFK,GCM,12/1/2017,NONSTOP,LOWEST,298.1,28.1,0,0,0,0
JFK,GCM,12/1/2017,NONSTOP,POINTS,298.1,28.1,20000,5.6,0,0
JFK,ORD,12/1/2017,NONSTOP,LOWEST,119.2,21.53,0,0,1,0
JFK,ORD,12/1/2017,NONSTOP,POINTS,119.2,21.53,7800,5.6,1,0
EWR,SJU,12/1/2017,NONSTOP,LOWEST,511.1,28.1,0,0,1,0
EWR,SJU,12/1/2017,NONSTOP,POINTS,511.1,28.1,46000,5.6,1,0
MCO,RIC,12/1/2017,NONSTOP,LOWEST,302.2,34.29,0,0,1,0
MCO,RIC,12/1/2017,NONSTOP,POINTS,302.2,34.29,27500,5.6,1,0
DCA,PBI,12/1/2017,NONSTOP,LOWEST,254.2,30.94,0,0,1,0
DCA,PBI,12/1/2017,NONSTOP,POINTS,254.2,30.94,20900,5.6,1,0
FLL,POS,12/1/2017,NONSTOP,LOWEST,333.1,28.1,0,0,0,0
FLL,POS,12/1/2017,NONSTOP,POINTS,333.1,28.1,26600,5.6,0,0
FLL,BOG,12/1/2017,NONSTOP,LOWEST,345.1,43.1,0,0,0,0
FLL,BOG,12/1/2017,NONSTOP,POINTS,345.1,43.1,24200,20.6,0,0
JFK,DAB,12/1/2017,NONSTOP,LOWEST,213.98,28.14,0,0,1,0
JFK,DAB,12/1/2017,NONSTOP,POINTS,213.98,28.14,16000,5.6,1,0
BDA,JFK,12/1/2017,NONSTOP,LOWEST,364.96,134.96,0,0,0,0
BDA,JFK,12/1/2017,NONSTOP,POINTS,364.96,134.96,17100,111.46,0,0
HPN,FLL,12/1/2017,NONSTOP,LOWEST,358.2,38.2,0,0,1,0
HPN,FLL,12/1/2017,NONSTOP,POINTS,358.2,38.2,30000,5.6,1,0
FLL,JAX,12/1/2017,NONSTOP,LOWEST,211.98,28,0,0,1,0
FLL,JAX,12/1/2017,NONSTOP,POINTS,211.98,28,17200,5.6,1,0
MCO,HAV,12/1/2017,NONSTOP,LOWEST,163.1,53.1,0,0,0,0
MCO,HAV,12/1/2017,NONSTOP,POINTS,163.1,53.1,8200,30.6,0,0
LGB,SEA,12/1/2017,NONSTOP,LOWEST,164.19,24.66,0,0,1,0
