Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
FLL,MSY,3/1/2018,NONSTOP,POINTS,89.2,19.43,5600,5.6,1,0
SFO,BOS,3/1/2018,NONSTOP,LOWEST,158.2,24.25,0,0,1,0
SFO,BOS,3/1/2018,NONSTOP,POINTS,158.2,24.25,10700,5.6,1,0
ACK,BOS,3/1/2018,NONSTOP,LOWEST,159,20.49,0,0,1,0
NAS,MCO,3/1/2018,NONSTOP,LOWEST,167.59,122.59,0,0,0,0
NAS,MCO,3/1/2018,NONSTOP,POINTS,167.59,122.59,3400,99.09,0,0
BOS,SAN,3/1/2018,NONSTOP,LOWEST,183.2,25.99,0,0,1,0
BOS,SAN,3/1/2018,NONSTOP,POINTS,183.2,25.99,12600,5.6,1,0
BTV,JFK,3/1/2018,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
BTV,JFK,3/1/2018,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
BDL,DCA,3/1/2018,NONSTOP,LOWEST,112.2,21.04,0,0,1,0
BDL,DCA,3/1/2018,NONSTOP,POINTS,112.2,21.04,7300,5.6,1,0
JFK,HAV,3/1/2018,NONSTOP,LOWEST,159.1,53.1,0,0,0,0
JFK,HAV,3/1/2018,NONSTOP,POINTS,159.1,53.1,7900,30.6,0,0
KIN,FLL,3/1/2018,NONSTOP,LOWEST,147.68,114.68,0,0,0,0
KIN,FLL,3/1/2018,NONSTOP,POINTS,147.68,114.68,2500,87.98,0,0
FLL,MBJ,3/1/2018,NONSTOP,LOWEST,141.1,72.1,0,0,0,0
FLL,MBJ,3/1/2018,NONSTOP,POINTS,141.1,72.1,5200,49.6,0,0
TPA,EWR,3/1/2018,NONSTOP,LOWEST,104.2,20.48,0,0,1,0
TPA,EWR,3/1/2018,NONSTOP,POINTS,104.2,20.48,6700,5.6,1,0
BOS,NAS,3/1/2018,NONSTOP,LOWEST,226.1,28.1,0,0,0,0
BOS,NAS,3/1/2018,NONSTOP,POINTS,226.1,28.1,14700,5.6,0,0
BNA,BOS,3/1/2018,NONSTOP,LOWEST,85.2,19.15,0,0,1,0
BNA,BOS,3/1/2018,NONSTOP,POINTS,85.2,19.15,5300,5.6,1,0
ORD,BOS,3/1/2018,NONSTOP,LOWEST,76.2,18.53,0,0,1,0
ORD,BOS,3/1/2018,NONSTOP,POINTS,76.2,18.53,4600,5.6,1,0
BOS,CHS,3/1/2018,NONSTOP,LOWEST,137.2,22.78,0,0,1,0
